,T_loss,S_loss,S_valid_acc
109,6.292763942480088,2.097910387814045,23.200000000000003
110,6.283765608072281,2.0957026809453962,23.0
111,6.266234803199768,2.1127047330141067,22.5
112,6.28362340927124,2.085875782370567,22.3
113,6.260859340429306,2.0714464351534843,22.8
114,6.244242811203003,2.0581342428922653,24.0
115,6.253324019908905,2.0555157721042634,23.200000000000003
116,6.2293342590332035,2.021862816810608,22.7
117,6.287381118535995,2.0136959925293922,22.900000000000002
118,6.256464964151382,2.073370397090912,23.5
119,6.220367532968521,2.096764621138573,23.5
120,6.229682892560959,2.067846287786961,22.900000000000002
121,6.252088582515716,2.0705095395445823,22.400000000000002
122,6.192876464128494,2.097086049616337,23.200000000000003
123,6.217078328132629,2.087142124772072,23.7
124,6.215302038192749,2.1575012892484664,23.200000000000003
125,6.22232038974762,2.145069518685341,23.400000000000002
126,6.2162144720554355,2.102187377214432,22.7
127,6.194280695915222,2.142060798406601,22.400000000000002
128,6.178248262405395,2.1204236164689063,22.2
129,6.164214307069779,2.090637814998627,21.8
130,6.1659374833106995,2.078029005229473,23.0
131,6.188184654712677,2.1430062860250474,21.2
132,6.173633432388305,2.1382465302944182,22.7
133,6.195920324325561,2.1343930512666702,22.0
134,6.127262622117996,2.1011840790510177,23.0
135,6.145449537038803,2.1127862885594366,22.900000000000002
136,6.13849578499794,2.133499538898468,21.8
137,6.158109986782074,2.109513725340366,22.8
138,6.1327616453170775,2.0999379470944404,23.0
139,6.132781755924225,2.139116722345352,23.0
140,6.140731126070023,2.1156977266073227,23.0
141,6.114413583278656,2.1164178639650344,23.400000000000002
142,6.102049291133881,2.102433380484581,22.1
143,6.094423615932465,2.1497420996427534,22.5
144,6.122262263298035,2.1236927464604376,22.900000000000002
145,6.121958911418915,2.1494550198316573,22.7
146,6.107395035028458,2.124453219771385,23.599999999999998
147,6.126833665370941,2.0998165592551232,22.6
148,6.080883103609085,2.155732163786888,22.1
149,6.088162887096405,2.1500671088695524,23.1
150,6.070169913768768,2.117180071771145,22.6
151,6.104740315675736,2.0891844391822816,23.200000000000003
152,6.059194201231003,2.1307018980383874,21.9
153,6.094724160432816,2.1464417606592177,22.900000000000002
154,6.053438681364059,2.183502608537674,23.400000000000002
155,6.035198712348938,2.1976391464471816,23.1
156,6.002346247434616,2.1895367085933684,23.0
157,6.027494704723358,2.1809008419513702,22.6
158,6.022982943058014,2.2013061493635178,23.599999999999998
159,5.947996813058853,2.205744978785515,23.9
160,5.959607303142548,2.1789271414279936,22.6
161,5.959625631570816,2.152290424704552,22.900000000000002
162,5.960525989532471,2.1656722098588945,23.7
163,5.981408399343491,2.141076758503914,23.0
164,5.9805826306343075,2.118752099573612,23.1
165,5.951036638021469,2.15190604031086,22.2
166,5.923457455635071,2.1736637473106386,22.900000000000002
167,5.961997932195663,2.160232275724411,21.0
168,5.9531472563743595,2.152924579381943,23.200000000000003
169,5.948368012905121,2.1457546800374985,22.7
170,5.942091828584671,2.1661342471837997,22.900000000000002
171,5.915328258275986,2.191591367125511,22.900000000000002
172,5.912610894441604,2.180368962883949,23.799999999999997
173,5.906251639127731,2.158212646842003,23.200000000000003
174,5.893461847305298,2.1853122413158417,23.0
175,5.9332823038101195,2.185187503695488,22.900000000000002
176,5.917730909585953,2.163473239541054,23.7
177,5.924313187599182,2.174496576189995,23.0
178,5.939487159252167,2.180764725804329,23.200000000000003
179,5.916139602661133,2.198142173886299,22.900000000000002
180,5.922925066947937,2.1828684747219085,23.3
181,5.90082072019577,2.1826719522476195,23.400000000000002
